H + 0         1         1   109679.0
    1 1S                (2)0( 0.5)        0.0
    2 2S                (2)0( 0.5)    82259.0
    3 2P                (2)1( 2.5)    82259.0
    4 3S                (2)0( 0.5)    97492.0
    5 3P                (2)1( 2.5)    97492.0
    6 3D                (2)2( 4.5)    97492.0
    7 4S                (2)0( 0.5)   102824.0
    8 4P                (2)1( 2.5)   102824.0
    9 4D                (2)2( 4.5)   102824.0
   10 4F                (2)3( 6.5)   102824.0
   11 5S                (2)0( 0.5)   105292.0
   12 5P                (2)1( 2.5)   105292.0
   13 5D                (2)2( 4.5)   105292.0
   14 5F                (2)3( 6.5)   105292.0
   15 5G                (2)4( 8.5)   105292.0
   -1
 1.00    3       2.32+03 3.48+03 5.80+03 8.12+03 1.16+04 1.74+04 2.32+04 3.48+04 5.80+04 8.12+04 1.16+05 2.32+05 5.80+05 1.16+06
   2   1 8.23+00 2.30-01 2.41-01 2.49-01 2.65-01 2.82-01 2.85-01 2.86-01 2.86-01 2.86-01 2.96-01 3.16-01 3.50-01 5.10-01 6.90-01
   3   1 6.27+08 4.08-01 4.09-01 4.23-01 4.31-01 4.56-01 5.00-01 5.86-01 7.22-01 9.69-01 1.27+00 1.65+00 2.84+00 5.32+00 7.61+00
   4   1 1.00-30 5.60-02 5.85-02 6.19-02 6.50-02 7.05-02 7.60-02 8.15-02 8.72-02 9.16-02 9.10-02 8.80-02 8.15-02 8.55-02 9.35-02
   5   1 1.67+08 1.01-01 1.05-01 1.09-01 1.23-01 1.38-01 1.54-01 1.73-01 1.91-01 2.26-01 2.60-01 3.14-01 4.87-01 8.78-01 1.24+00
   6   1 1.00-30 5.00-02 5.40-02 5.85-02 6.10-02 6.50-02 7.40-02 7.95-02 9.19-02 1.10-01 1.20-01 1.31-01 1.48-01 1.60-01 1.63-01
   7   1 1.00-30 2.40-02 2.40-02 2.48-02 3.06-02 3.69-02 4.59-02 4.90-02 5.21-02 5.57-02 5.60-02 5.60-02 5.58-02 5.34-02 5.11-02
   8   1 6.82+07 5.02-02 5.03-02 5.18-02 6.00-02 6.80-02 8.03-02 9.02-02 1.07-01 1.33-01 1.54-01 1.80-01 2.48-01 3.87-01 5.41-01
   9   1 1.00-30 2.60-02 2.60-02 2.62-02 2.79-02 2.99-02 3.29-02 3.53-02 3.96-02 4.63-02 5.05-02 5.49-02 6.09-02 6.45-02 6.53-02
  10   1 1.00-30 8.90-03 8.90-03 8.97-03 9.39-03 9.57-03 9.75-03 9.72-03 9.55-03 9.16-03 8.82-03 8.44-03 6.87-03 4.74-03 3.44-03
  11   1 1.00-30 1.22-02 1.22-02 1.26-02 1.57-02 1.85-02 2.25-02 2.49-02 2.75-02 2.87-02 2.89-02 2.90-02 2.87-02 2.74-02 2.68-02
  12   1 3.44+07 2.58-02 2.59-02 2.66-02 3.05-02 3.45-02 4.03-02 4.55-02 5.41-02 6.81-02 7.90-02 9.04-02 1.27-01 1.97-01 2.73-01
  13   1 1.00-30 1.34-02 1.34-02 1.35-02 1.43-02 1.54-02 1.67-02 1.79-02 2.02-02 2.37-02 2.58-02 2.79-02 3.08-02 3.33-02 3.40-02
  14   1 1.00-30 4.65-03 4.65-03 4.68-03 4.89-03 4.97-03 5.01-03 5.01-03 4.95-03 4.80-03 4.62-03 4.32-03 3.60-03 2.52-03 1.77-03
  15   1 1.00-30 6.10-04 6.10-04 6.05-04 5.71-04 5.33-04 4.80-04 4.44-04 3.91-04 3.18-04 2.69-04 2.22-04 2.27-04 6.97-04 3.99-04
