 H+ 0         1         1       109679.(1S)
    1 1S1               (2)0( 0.5)             0.0   {1}1.000
    2 2S1               (2)0( 0.5)         82258.9   {1}1.000
    3 2P1               (2)1( 2.5)         82259.0   {1}1.000
    4 3S1               (2)0( 0.5)         97492.2   {1}1.000
    5 3P1               (2)1( 2.5)         97492.2   {1}1.000
    6 3D1               (2)2( 4.5)         97492.3   {1}1.000
    7 4S1               (2)0( 0.5)        102823.9   {1}1.000
    8 4P1               (2)1( 2.5)        102823.9   {1}1.000
    9 4D1               (2)2( 4.5)        102823.9   {1}1.000
   10 4F1               (2)3( 6.5)        102823.9   {1}1.000
   11 5S1               (2)0( 0.5)        105291.6   {1}1.000
   12 5P1               (2)1( 2.5)        105291.6   {1}1.000
   13 5D1               (2)2( 4.5)        105291.6   {1}1.000
   14 5F1               (2)3( 6.5)        105291.6   {1}1.000
   15 5G1               (2)4( 8.5)        105291.6   {1}1.000
   -1
 1.00    3       1.16+03 3.48+03 5.80+03 1.16+04 3.48+04 5.80+04 1.16+05 1.74+05 2.32+05 2.90+05 5.00+05 1.00+06 3.00+06
   2   1 1.00-30 2.60-01 2.60-01 2.60-01 2.96-01 3.26-01 3.39-01 3.73-01 4.06-01 4.36-01 4.61-01 5.17-01 5.69-01 6.14-01
   3   1 6.27+08 4.23-01 4.26-01 4.29-01 5.29-01 8.53-01 1.15+00 1.81+00 2.35+00 2.81+00 3.20+00 4.46+00 6.57+00 1.07+01
   4   1 1.00-30 6.51-02 6.51-02 6.51-02 6.96-02 7.76-02 8.13-02 8.70-02 9.21-02 9.66-02 1.01-01 1.11-01 1.22-01 1.31-01
   5   1 1.67+08 1.11-01 1.11-01 1.12-01 1.26-01 1.86-01 2.43-01 3.54-01 4.38-01 5.07-01 5.66-01 7.57-01 1.08+00 1.72+00
   6   1 1.00-30 6.21-02 6.21-02 6.21-02 6.58-02 7.82-02 8.97-02 1.09-01 1.20-01 1.26-01 1.30-01 1.39-01 1.48-01 1.55-01
   7   1 1.00-30 2.23-02 2.23-02 2.23-02 2.55-02 3.19-02 3.40-02 3.61-02 3.76-02 3.90-02 4.02-02 4.30-02 4.57-02 4.82-02
   8   1 6.82+07 3.98-02 4.01-02 4.03-02 4.79-02 7.40-02 9.46-02 1.33-01 1.61-01 1.84-01 2.04-01 2.69-01 3.80-01 6.01-01
   9   1 1.00-30 3.00-02 3.00-02 3.00-02 3.19-02 4.04-02 4.72-02 5.69-02 6.15-02 6.41-02 6.56-02 6.88-02 7.20-02 7.48-02
  10   1 1.00-30 1.23-02 1.23-02 1.23-02 1.14-02 1.05-02 1.05-02 1.06-02 1.04-02 1.01-02 9.80-03 9.09-03 8.38-03 7.74-03
  11   1 1.00-30 1.45-02 1.45-02 1.45-02 1.72-02 1.92-02 1.93-02 1.94-02 1.97-02 2.02-02 2.07-02 2.19-02 2.31-02 2.42-02
  12   1 3.44+07 2.66-02 2.68-02 2.69-02 3.15-02 4.04-02 4.77-02 6.34-02 7.59-02 8.65-02 9.57-02 1.26-01 1.77-01 2.81-01
  13   1 1.00-30 2.08-02 2.08-02 2.08-02 2.22-02 2.47-02 2.75-02 3.13-02 3.30-02 3.39-02 3.44-02 3.55-02 3.65-02 3.75-02
  14   1 1.00-30 9.19-03 9.19-03 9.19-03 9.14-03 9.52-03 9.92-03 1.03-02 1.02-02 9.96-03 9.66-03 8.92-03 8.19-03 7.52-03
  15   1 1.00-30 4.66-03 4.66-03 4.66-03 4.03-03 2.85-03 2.35-03 1.76-03 1.47-03 1.29-03 1.15-03 8.26-04 5.02-04 2.09-04
   4   2 1.00-30 1.38+00 1.38+00 1.38+00 1.45+00 2.28+00 3.09+00 4.50+00 5.40+00 6.03+00 6.50+00 7.37+00 8.01+00 8.46+00
   5   2 2.25+07 2.29+00 2.38+00 2.46+00 3.05+00 5.28+00 7.74+00 1.35+01 1.84+01 2.24+01 2.58+01 3.55+01 4.99+01 7.50+01
   6   2 1.00-30 2.09+00 2.09+00 2.09+00 3.08+00 6.56+00 9.38+00 1.42+01 1.72+01 1.93+01 2.08+01 2.35+01 2.56+01 2.70+01
   7   2 1.00-30 3.92-01 3.92-01 3.92-01 3.88-01 5.08-01 6.38-01 8.80-01 1.04+00 1.16+00 1.25+00 1.42+00 1.55+00 1.64+00
   8   2 9.67+06 7.30-01 7.50-01 7.70-01 9.03-01 1.45+00 1.95+00 3.01+00 3.85+00 4.54+00 5.13+00 6.82+00 9.33+00 1.37+01
   9   2 1.00-30 6.54-01 6.54-01 6.54-01 7.54-01 1.12+00 1.41+00 1.93+00 2.25+00 2.48+00 2.65+00 2.97+00 3.21+00 3.38+00
  10   2 1.00-30 5.65-01 5.65-01 5.65-01 7.38-01 1.29+00 1.62+00 2.04+00 2.21+00 2.30+00 2.34+00 2.41+00 2.46+00 2.49+00
  11   2 1.00-30 2.01-01 2.01-01 2.01-01 2.13-01 2.33-01 2.64-01 3.37-01 3.92-01 4.34-01 4.66-01 5.27-01 5.73-01 6.07-01
  12   2 4.95+06 4.00-01 4.10-01 4.20-01 5.18-01 7.14-01 8.68-01 1.21+00 1.49+00 1.73+00 1.93+00 2.52+00 3.41+00 5.00+00
  13   2 1.00-30 4.35-01 4.35-01 4.35-01 4.87-01 5.56-01 6.09-01 7.18-01 7.96-01 8.55-01 9.01-01 9.89-01 1.06+00 1.10+00
  14   2 1.00-30 3.91-01 3.91-01 3.91-01 4.61-01 6.76-01 8.14-01 9.77-01 1.04+00 1.07+00 1.09+00 1.13+00 1.16+00 1.18+00
  15   2 1.00-30 2.35-01 2.35-01 2.35-01 2.54-01 2.52-01 2.47-01 2.36-01 2.24-01 2.14-01 2.05-01 1.87-01 1.74-01 1.64-01
   4   3 6.32+06 1.90+00 1.97+00 2.04+00 2.22+00 2.28+00 2.35+00 2.68+00 3.02+00 3.34+00 3.62+00 4.46+00 5.76+00 8.07+00
   5   3 1.00-30 7.26+00 7.26+00 7.26+00 7.92+00 1.07+01 1.33+01 1.77+01 2.04+01 2.23+01 2.37+01 2.63+01 2.82+01 2.95+01
   6   3 6.47+07 1.23+01 1.28+01 1.32+01 1.78+01 3.69+01 5.58+01 9.44+01 1.23+02 1.46+02 1.65+02 2.16+02 2.89+02 4.12+02
   7   3 2.58+06 7.36-01 7.36-01 7.36-01 7.71-01 7.58-01 7.42-01 7.51-01 7.84-01 8.21-01 8.57-01 9.27-01 9.80-01 1.02+00
   8   3 1.00-30 2.16+00 2.16+00 2.16+00 2.26+00 2.69+00 3.08+00 3.77+00 4.21+00 4.53+00 4.76+00 5.19+00 5.51+00 5.75+00
   9   3 2.06+07 3.36+00 3.45+00 3.54+00 4.31+00 7.62+00 1.06+01 1.63+01 2.04+01 2.34+01 2.60+01 3.29+01 4.25+01 5.87+01
  10   3 1.00-30 2.72+00 2.72+00 2.72+00 3.21+00 4.93+00 6.09+00 7.62+00 8.33+00 8.72+00 8.95+00 9.36+00 9.68+00 9.91+00
  11   3 1.29+06 4.63-01 4.63-01 4.63-01 5.10-01 4.75-01 4.38-01 4.03-01 3.97-01 4.01-01 4.07-01 4.19-01 4.28-01 4.35-01
  12   3 1.00-30 1.32+00 1.32+00 1.32+00 1.40+00 1.37+00 1.40+00 1.53+00 1.65+00 1.74+00 1.81+00 1.94+00 2.05+00 2.12+00
  13   3 9.43+06 1.97+00 2.02+00 2.07+00 2.48+00 3.44+00 4.27+00 5.90+00 7.08+00 8.01+00 8.77+00 1.09+01 1.39+01 1.90+01
